May 16 19:33:10 research21 systemd[1]: Started snap.k8s.kube-controller-manager.service - Service for snap application k8s.kube-controller-manager.
May 16 19:33:10 research21 k8s.kube-controller-manager[36373]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:10 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:14 research21 k8s.kube-controller-manager[36994]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:14 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:18 research21 k8s.kube-controller-manager[37279]: Error from server (Forbidden): forbidden: User "system:node:research21" cannot get path "/readyz"
May 16 19:33:18 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + ulimit -c unlimited
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + export GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + [[ -f /var/snap/k8s/common/args/kube-controller-manager-env ]]
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + exec /snap/k8s/2500/bin/kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller.conf --authorization-kubeconfig=/etc/kubernetes/controller.conf --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --kubeconfig=/etc/kubernetes/controller.conf --leader-elect-lease-duration=30s --leader-elect-renew-deadline=15s --profiling=false --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/serviceaccount.key --terminated-pod-gc-threshold=12500 --tls-min-version=VersionTLS12 --use-service-account-credentials=true
May 16 19:33:23 research21 k8s.kube-controller-manager[36331]: I0516 19:33:23.577344   36331 serving.go:386] Generated self-signed cert in-memory
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.601730   36331 type.go:183] The watchlist request for horizontalpodautoscalers ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.601900   36331 type.go:183] The watchlist request for csidrivers ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602057   36331 type.go:183] The watchlist request for networkpolicies ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602242   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602447   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602504   36331 type.go:183] The watchlist request for persistentvolumes ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602659   36331 type.go:183] The watchlist request for storageclasses ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602757   36331 type.go:183] The watchlist request for leases ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602828   36331 type.go:183] The watchlist request for replicationcontrollers ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.602916   36331 type.go:183] The watchlist request for nodes ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603018   36331 type.go:183] The watchlist request for pods ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603080   36331 type.go:183] The watchlist request for roles ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603176   36331 type.go:183] The watchlist request for namespaces ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603259   36331 type.go:183] The watchlist request for deployments ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603331   36331 type.go:183] The watchlist request for podtemplates ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603438   36331 type.go:183] The watchlist request for services ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603561   36331 type.go:183] The watchlist request for clusterroles ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603672   36331 type.go:183] The watchlist request for endpoints ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603772   36331 type.go:183] The watchlist request for jobs ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603860   36331 type.go:183] The watchlist request for daemonsets ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.603972   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.604189   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.604387   36331 type.go:183] The watchlist request for validatingadmissionpolicies ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.604522   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.607583   36331 type.go:183] The watchlist request for certificatesigningrequests ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.627095   36331 shared_informer.go:313] Waiting for caches to sync for garbage collector
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.629905   36331 type.go:183] The watchlist request for replicasets ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.632283   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.634739   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.642823   36331 type.go:183] The watchlist request for volumeattachments ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.648176   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=bfdprofiles"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.648592   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.649197   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=bgpadvertisements"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.649508   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=l2advertisements"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.651584   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=ipaddresspools"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.648633   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.648817   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.648865   36331 type.go:183] The watchlist request for csinodes ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.649145   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.662493   36331 type.go:183] The watchlist request for statefulsets ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.670046   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.670547   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.670750   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.671318   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.675773   36331 shared_informer.go:320] Caches are synced for expand
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.678620   36331 shared_informer.go:320] Caches are synced for validatingadmissionpolicy-status
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.681389   36331 shared_informer.go:320] Caches are synced for TTL after finished
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.685786   36331 shared_informer.go:320] Caches are synced for crt configmap
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.711845   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.712315   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="apiregistration.k8s.io/v1, Resource=apiservices"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.713664   36331 type.go:183] The watchlist request for flowschemas ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.713805   36331 type.go:183] The watchlist request for validatingadmissionpolicybindings ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.713907   36331 type.go:183] The watchlist request for mutatingwebhookconfigurations ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.713996   36331 type.go:183] The watchlist request for priorityclasses ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.714496   36331 type.go:183] The watchlist request for ingressclasses ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.714700   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.715216   36331 type.go:183] The watchlist request for runtimeclasses ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.715316   36331 type.go:183] The watchlist request for prioritylevelconfigurations ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.716415   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.716680   36331 type.go:183] The watchlist request for endpointslices ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.717147   36331 actual_state_of_world.go:541] "Failed to update statusUpdateNeeded field in actual state of world" logger="persistentvolume-attach-detach-controller" err="Failed to set statusUpdateNeeded to needed true, because nodeName=\"research21\" does not exist"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.717313   36331 type.go:183] The watchlist request for validatingwebhookconfigurations ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.717393   36331 shared_informer.go:320] Caches are synced for ReplicationController
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.717993   36331 type.go:183] The watchlist request for clusterrolebindings ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.727339   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.727528   36331 shared_informer.go:320] Caches are synced for ClusterRoleAggregator
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.728947   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=communities"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.729140   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta1, Resource=servicel2statuses"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.730811   36331 shared_informer.go:320] Caches are synced for GC
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.731729   36331 shared_informer.go:320] Caches are synced for endpoint
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.731594   36331 shared_informer.go:320] Caches are synced for cronjob
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.732941   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.734365   36331 shared_informer.go:320] Caches are synced for certificate-csrsigning-kubelet-client
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.735562   36331 shared_informer.go:320] Caches are synced for certificate-csrapproving
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.735611   36331 shared_informer.go:320] Caches are synced for certificate-csrsigning-kube-apiserver-client
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.735649   36331 shared_informer.go:320] Caches are synced for certificate-csrsigning-kubelet-serving
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.736450   36331 shared_informer.go:320] Caches are synced for certificate-csrsigning-legacy-unknown
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: E0516 19:33:30.736985   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="apiextensions.k8s.io/v1, Resource=customresourcedefinitions"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.737835   36331 shared_informer.go:320] Caches are synced for namespace
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.742450   36331 shared_informer.go:320] Caches are synced for job
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.743354   36331 shared_informer.go:320] Caches are synced for TTL
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.746563   36331 shared_informer.go:320] Caches are synced for taint
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.746661   36331 node_lifecycle_controller.go:1234] "Initializing eviction metric for zone" logger="node-lifecycle-controller" zone=""
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.746771   36331 node_lifecycle_controller.go:886] "Missing timestamp for Node. Assuming now as a timestamp" logger="node-lifecycle-controller" node="research21"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.746825   36331 node_lifecycle_controller.go:1038] "Controller detected that all Nodes are not-Ready. Entering master disruption mode" logger="node-lifecycle-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.748032   36331 shared_informer.go:320] Caches are synced for attach detach
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.756748   36331 shared_informer.go:320] Caches are synced for service account
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.757526   36331 shared_informer.go:320] Caches are synced for PV protection
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.765754   36331 shared_informer.go:320] Caches are synced for taint-eviction-controller
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.772738   36331 shared_informer.go:320] Caches are synced for HPA
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.776467   36331 shared_informer.go:320] Caches are synced for ReplicaSet
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.777673   36331 shared_informer.go:320] Caches are synced for persistent volume
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.778250   36331 shared_informer.go:320] Caches are synced for PVC protection
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.778523   36331 shared_informer.go:320] Caches are synced for daemon sets
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.780704   36331 shared_informer.go:320] Caches are synced for disruption
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.785080   36331 shared_informer.go:320] Caches are synced for deployment
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.795050   36331 shared_informer.go:320] Caches are synced for legacy-service-account-token-cleaner
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.796420   36331 shared_informer.go:320] Caches are synced for ephemeral
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.853241   36331 shared_informer.go:320] Caches are synced for stateful set
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.170691   36331 shared_informer.go:320] Caches are synced for resource quota
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.184632   36331 shared_informer.go:320] Caches are synced for endpoint_slice_mirroring
